START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,RIDER_GENDER,TIME_OF_DAY,AREA_SAFETY_SCORE,PICKUP_AREA,DROPOFF_AREA,INCIDENT_REPORT,RIDE_TYPE
2023-01-01 19:00:00,2023-01-01 19:30:00,Business,Location_D,Location_A,18.89,Errand/Supplies,Female,Afternoon,1.3194099625934754,Suburbs,Downtown,No,Solo
2023-01-01 20:00:00,2023-01-01 20:30:00,Personal,Location_C,Location_B,18.05,Meal/Entertainment,Female,Afternoon,3.8267498610341035,Downtown,Suburbs,Yes,Solo
2023-01-01 21:00:00,2023-01-01 21:30:00,Business,Location_B,Location_C,24.98,Customer Visit,Female,Evening,5.271443680654755,City Outskirts,Suburbs,No,Solo
2023-01-01 22:00:00,2023-01-01 22:30:00,Business,Location_A,Location_D,7.31,Meal/Entertainment,Male,Night,6.694360447204119,Suburbs,City Outskirts,Yes,Shared
2023-01-01 23:00:00,2023-01-01 23:30:00,Business,Location_B,Location_D,8.11,Airport,Male,Night,4.975119379172565,Suburbs,City Outskirts,Yes,Shared
2023-01-02 00:00:00,2023-01-02 00:30:00,Business,Location_D,Location_B,4.79,Errand/Supplies,Female,Morning,5.624629436458665,City Outskirts,Downtown,Yes,Solo
2023-01-02 01:00:00,2023-01-02 01:30:00,Personal,Location_D,Location_A,15.12,Meeting,Male,Afternoon,7.7622348386689985,Suburbs,City Outskirts,No,Shared
2023-01-02 02:00:00,2023-01-02 02:30:00,Personal,Location_D,Location_C,17.71,Customer Visit,Female,Evening,2.167697317635775,Suburbs,Suburbs,No,Shared
2023-01-02 03:00:00,2023-01-02 03:30:00,Personal,Location_B,Location_B,8.94,Meal/Entertainment,Female,Morning,1.673762132550036,City Outskirts,City Outskirts,Yes,Solo
2023-01-02 04:00:00,2023-01-02 04:30:00,Business,Location_C,Location_C,12.53,Airport,Female,Night,1.4834682480915267,Suburbs,City Outskirts,No,Shared
2023-01-02 05:00:00,2023-01-02 05:30:00,Business,Location_D,Location_B,11.61,Errand/Supplies,Female,Evening,4.031550050721657,Downtown,Downtown,Yes,Shared
2023-01-02 06:00:00,2023-01-02 06:30:00,Personal,Location_C,Location_D,15.98,Customer Visit,Female,Night,6.664969754117932,City Outskirts,City Outskirts,No,Solo
2023-01-02 07:00:00,2023-01-02 07:30:00,Business,Location_A,Location_C,8.03,Meeting,Male,Morning,5.737584142685134,Suburbs,Downtown,No,Solo
2023-01-02 08:00:00,2023-01-02 08:30:00,Business,Location_C,Location_B,8.21,Airport,Male,Night,9.22642063708455,Suburbs,City Outskirts,Yes,Solo
2023-01-02 09:00:00,2023-01-02 09:30:00,Business,Location_A,Location_C,2.04,Meeting,Male,Afternoon,3.0681735285569425,City Outskirts,Downtown,No,Shared
2023-01-02 10:00:00,2023-01-02 10:30:00,Business,Location_A,Location_B,24.53,Meeting,Female,Morning,8.753211029585106,Suburbs,Downtown,No,Solo
2023-01-02 11:00:00,2023-01-02 11:30:00,Personal,Location_D,Location_C,18.64,Meeting,Male,Evening,9.928590789026243,Downtown,Suburbs,Yes,Solo
2023-01-02 12:00:00,2023-01-02 12:30:00,Business,Location_C,Location_A,2.85,Meeting,Male,Morning,7.292623241420389,City Outskirts,City Outskirts,Yes,Shared
2023-01-02 13:00:00,2023-01-02 13:30:00,Personal,Location_D,Location_A,13.25,Customer Visit,Male,Afternoon,5.734129299124007,Suburbs,Suburbs,No,Shared
2023-01-02 14:00:00,2023-01-02 14:30:00,Business,Location_C,Location_B,10.89,Customer Visit,Female,Morning,4.073674724942394,Downtown,Downtown,Yes,Solo
2023-01-02 15:00:00,2023-01-02 15:30:00,Personal,Location_D,Location_D,22.55,Airport,Female,Evening,1.5538819359113059,City Outskirts,Downtown,No,Shared
2023-01-02 16:00:00,2023-01-02 16:30:00,Business,Location_A,Location_C,14.56,Meal/Entertainment,Male,Evening,9.79847042557737,Suburbs,Downtown,Yes,Shared
2023-01-02 17:00:00,2023-01-02 17:30:00,Personal,Location_A,Location_D,21.63,Meeting,Female,Afternoon,5.786584551437016,City Outskirts,City Outskirts,Yes,Solo
2023-01-02 18:00:00,2023-01-02 18:30:00,Business,Location_B,Location_B,11.89,Meal/Entertainment,Female,Afternoon,7.9630733873303425,City Outskirts,City Outskirts,Yes,Shared
2023-01-02 19:00:00,2023-01-02 19:30:00,Business,Location_C,Location_C,16.62,Meeting,Female,Afternoon,9.859488391604852,Suburbs,Downtown,Yes,Shared
2023-01-02 20:00:00,2023-01-02 20:30:00,Business,Location_C,Location_B,12.3,Errand/Supplies,Male,Evening,2.8919590978721392,City Outskirts,Suburbs,Yes,Shared
2023-01-02 21:00:00,2023-01-02 21:30:00,Business,Location_A,Location_C,3.46,Errand/Supplies,Male,Night,2.3560478322037404,City Outskirts,City Outskirts,No,Shared
2023-01-02 22:00:00,2023-01-02 22:30:00,Business,Location_C,Location_B,2.92,Airport,Female,Evening,3.9088048815503083,Suburbs,Suburbs,No,Shared
2023-01-02 23:00:00,2023-01-02 23:30:00,Business,Location_D,Location_D,15.27,Errand/Supplies,Female,Evening,5.604105631229082,City Outskirts,Downtown,Yes,Shared
2023-01-03 00:00:00,2023-01-03 00:30:00,Personal,Location_C,Location_C,23.77,Meal/Entertainment,Female,Afternoon,6.77059641642108,City Outskirts,Downtown,Yes,Solo
2023-01-03 01:00:00,2023-01-03 01:30:00,Business,Location_C,Location_A,2.17,Meeting,Male,Night,1.0301394199903484,City Outskirts,City Outskirts,No,Solo
2023-01-03 02:00:00,2023-01-03 02:30:00,Personal,Location_C,Location_D,11.81,Meeting,Male,Afternoon,3.292462764995216,Downtown,Suburbs,No,Shared
2023-01-03 03:00:00,2023-01-03 03:30:00,Business,Location_D,Location_D,20.23,Meeting,Female,Night,2.419680101747727,Downtown,Suburbs,Yes,Solo
2023-01-03 04:00:00,2023-01-03 04:30:00,Personal,Location_D,Location_D,14.75,Meeting,Male,Night,2.727797486834734,City Outskirts,Suburbs,No,Shared
2023-01-03 05:00:00,2023-01-03 05:30:00,Personal,Location_B,Location_C,5.26,Meal/Entertainment,Male,Afternoon,6.851872771088901,Downtown,Downtown,Yes,Solo
2023-01-03 06:00:00,2023-01-03 06:30:00,Business,Location_C,Location_D,11.79,Meal/Entertainment,Female,Evening,8.101815140818823,Downtown,City Outskirts,No,Shared
2023-01-03 07:00:00,2023-01-03 07:30:00,Personal,Location_A,Location_D,18.26,Meeting,Female,Morning,8.948305058970162,Downtown,City Outskirts,Yes,Solo
2023-01-03 08:00:00,2023-01-03 08:30:00,Business,Location_D,Location_C,5.92,Meeting,Male,Night,2.842346786557906,City Outskirts,City Outskirts,No,Solo
2023-01-03 09:00:00,2023-01-03 09:30:00,Personal,Location_B,Location_C,1.37,Airport,Male,Evening,5.87898339271649,Suburbs,Suburbs,Yes,Shared
2023-01-03 10:00:00,2023-01-03 10:30:00,Personal,Location_B,Location_A,6.61,Airport,Female,Morning,3.8008825296785034,Downtown,Downtown,Yes,Solo
2023-01-03 11:00:00,2023-01-03 11:30:00,Business,Location_B,Location_C,12.41,Meeting,Male,Afternoon,4.193635550023079,Downtown,Downtown,Yes,Solo
2023-01-03 12:00:00,2023-01-03 12:30:00,Personal,Location_A,Location_D,24.62,Errand/Supplies,Male,Night,4.476985817656026,Downtown,Downtown,No,Shared
2023-01-03 13:00:00,2023-01-03 13:30:00,Business,Location_D,Location_B,4.15,Meeting,Male,Morning,7.049311072215264,Downtown,Suburbs,No,Shared
2023-01-03 14:00:00,2023-01-03 14:30:00,Business,Location_C,Location_B,23.96,Customer Visit,Female,Night,4.810525794610818,Downtown,City Outskirts,No,Solo
2023-01-03 15:00:00,2023-01-03 15:30:00,Personal,Location_D,Location_C,5.54,Airport,Male,Afternoon,5.4892190663256635,Downtown,Downtown,Yes,Shared
2023-01-03 16:00:00,2023-01-03 16:30:00,Personal,Location_B,Location_B,9.4,Airport,Male,Afternoon,3.483961386417111,Downtown,Suburbs,No,Shared
2023-01-03 17:00:00,2023-01-03 17:30:00,Personal,Location_A,Location_D,21.84,Errand/Supplies,Male,Night,7.5276291926668195,City Outskirts,Suburbs,Yes,Solo
2023-01-03 18:00:00,2023-01-03 18:30:00,Personal,Location_C,Location_C,16.52,Meeting,Male,Evening,6.436141068798623,City Outskirts,Downtown,Yes,Solo
2023-01-03 19:00:00,2023-01-03 19:30:00,Business,Location_D,Location_D,7.46,Customer Visit,Male,Evening,2.686843481475051,Suburbs,Suburbs,Yes,Shared
2023-01-03 20:00:00,2023-01-03 20:30:00,Personal,Location_C,Location_D,23.29,Meal/Entertainment,Male,Morning,4.40094369597484,Downtown,Suburbs,Yes,Solo
2023-01-03 21:00:00,2023-01-03 21:30:00,Personal,Location_D,Location_C,20.55,Customer Visit,Male,Evening,7.220368317665493,Downtown,City Outskirts,Yes,Shared
2023-01-03 22:00:00,2023-01-03 22:30:00,Personal,Location_B,Location_B,1.33,Meal/Entertainment,Female,Afternoon,4.151986793401802,Suburbs,City Outskirts,Yes,Solo
2023-01-03 23:00:00,2023-01-03 23:30:00,Business,Location_D,Location_B,19.48,Airport,Female,Night,4.796829618308827,City Outskirts,City Outskirts,Yes,Shared
2023-01-04 00:00:00,2023-01-04 00:30:00,Business,Location_B,Location_A,14.07,Airport,Male,Afternoon,1.424980158560622,Suburbs,Suburbs,No,Solo
2023-01-04 01:00:00,2023-01-04 01:30:00,Business,Location_A,Location_A,2.91,Airport,Female,Evening,6.858587088965365,City Outskirts,Suburbs,No,Shared
2023-01-04 02:00:00,2023-01-04 02:30:00,Business,Location_D,Location_B,9.56,Customer Visit,Female,Night,2.2046473271978506,Suburbs,Downtown,Yes,Shared
2023-01-04 03:00:00,2023-01-04 03:30:00,Business,Location_A,Location_A,21.92,Meeting,Male,Morning,2.041840068744831,Downtown,Downtown,Yes,Solo
2023-01-04 04:00:00,2023-01-04 04:30:00,Personal,Location_B,Location_D,7.36,Meeting,Male,Night,8.613536621288262,City Outskirts,Suburbs,No,Shared
2023-01-04 05:00:00,2023-01-04 05:30:00,Business,Location_C,Location_C,23.85,Errand/Supplies,Male,Night,2.3312959216263827,City Outskirts,Downtown,No,Shared
2023-01-04 06:00:00,2023-01-04 06:30:00,Business,Location_A,Location_C,13.34,Customer Visit,Female,Afternoon,2.1728363601106855,Downtown,City Outskirts,No,Shared
2023-01-04 07:00:00,2023-01-04 07:30:00,Personal,Location_C,Location_C,6.04,Meal/Entertainment,Female,Night,5.111325623482326,Downtown,Downtown,Yes,Shared
2023-01-04 08:00:00,2023-01-04 08:30:00,Personal,Location_C,Location_C,5.78,Meal/Entertainment,Male,Morning,5.18761688275184,City Outskirts,Suburbs,Yes,Shared
2023-01-04 09:00:00,2023-01-04 09:30:00,Business,Location_B,Location_B,5.95,Airport,Male,Morning,2.337419597367443,Suburbs,City Outskirts,No,Shared
2023-01-04 10:00:00,2023-01-04 10:30:00,Business,Location_D,Location_D,6.39,Airport,Female,Afternoon,9.805616488345933,Downtown,City Outskirts,Yes,Solo
2023-01-04 11:00:00,2023-01-04 11:30:00,Business,Location_D,Location_B,9.77,Airport,Female,Evening,9.3011519578019,City Outskirts,Downtown,No,Shared
2023-01-04 12:00:00,2023-01-04 12:30:00,Personal,Location_B,Location_B,1.85,Customer Visit,Male,Afternoon,8.208169106077023,Suburbs,Downtown,Yes,Shared
2023-01-04 13:00:00,2023-01-04 13:30:00,Business,Location_A,Location_C,13.15,Customer Visit,Female,Morning,8.850826257381875,Suburbs,Downtown,Yes,Solo
2023-01-04 14:00:00,2023-01-04 14:30:00,Business,Location_B,Location_D,8.85,Customer Visit,Male,Evening,8.910957408477076,City Outskirts,Downtown,Yes,Shared
2023-01-04 15:00:00,2023-01-04 15:30:00,Personal,Location_D,Location_B,1.09,Airport,Male,Night,5.308842580586249,Downtown,Downtown,No,Solo
2023-01-04 16:00:00,2023-01-04 16:30:00,Personal,Location_C,Location_B,20.78,Meeting,Male,Evening,2.5240317079931653,City Outskirts,Downtown,Yes,Shared
2023-01-04 17:00:00,2023-01-04 17:30:00,Business,Location_B,Location_B,13.12,Errand/Supplies,Male,Night,5.968783864946889,Downtown,Suburbs,No,Solo
2023-01-04 18:00:00,2023-01-04 18:30:00,Personal,Location_C,Location_C,11.3,Customer Visit,Male,Evening,5.658520335547463,Suburbs,Downtown,Yes,Shared
2023-01-04 19:00:00,2023-01-04 19:30:00,Personal,Location_B,Location_A,16.68,Meeting,Male,Afternoon,3.151081172286926,City Outskirts,Suburbs,No,Solo
2023-01-04 20:00:00,2023-01-04 20:30:00,Personal,Location_B,Location_C,4.62,Meal/Entertainment,Male,Evening,8.569603595898016,City Outskirts,Downtown,No,Shared
2023-01-04 21:00:00,2023-01-04 21:30:00,Business,Location_B,Location_A,22.95,Errand/Supplies,Female,Morning,4.983359861210113,Downtown,Suburbs,No,Solo
2023-01-04 22:00:00,2023-01-04 22:30:00,Business,Location_B,Location_A,3.1,Errand/Supplies,Male,Evening,2.831219858325769,Suburbs,Downtown,Yes,Shared
2023-01-04 23:00:00,2023-01-04 23:30:00,Business,Location_C,Location_B,19.11,Meeting,Male,Morning,8.269684471429315,Suburbs,Downtown,Yes,Solo
2023-01-05 00:00:00,2023-01-05 00:30:00,Business,Location_B,Location_D,18.78,Customer Visit,Female,Morning,9.444529282021877,Suburbs,Downtown,Yes,Solo
2023-01-05 01:00:00,2023-01-05 01:30:00,Personal,Location_A,Location_C,5.43,Airport,Female,Evening,9.474135879934984,Suburbs,Downtown,Yes,Shared
2023-01-05 02:00:00,2023-01-05 02:30:00,Business,Location_A,Location_A,2.1,Customer Visit,Male,Afternoon,5.516873886898761,Suburbs,Suburbs,Yes,Solo
2023-01-05 03:00:00,2023-01-05 03:30:00,Business,Location_A,Location_B,23.11,Airport,Male,Morning,5.565496335778885,Downtown,Suburbs,No,Shared
2023-01-05 04:00:00,2023-01-05 04:30:00,Business,Location_C,Location_D,14.9,Meeting,Female,Morning,2.0057551714639623,City Outskirts,City Outskirts,Yes,Solo
2023-01-05 05:00:00,2023-01-05 05:30:00,Business,Location_D,Location_C,14.9,Meal/Entertainment,Female,Evening,5.880803677002046,Downtown,Downtown,Yes,Solo
2023-01-05 06:00:00,2023-01-05 06:30:00,Business,Location_D,Location_A,10.83,Meal/Entertainment,Male,Morning,4.786088141130325,City Outskirts,City Outskirts,Yes,Shared
2023-01-05 07:00:00,2023-01-05 07:30:00,Business,Location_C,Location_B,1.2,Customer Visit,Male,Evening,7.388976499835449,City Outskirts,Downtown,Yes,Solo
2023-01-05 08:00:00,2023-01-05 08:30:00,Personal,Location_C,Location_A,5.98,Airport,Female,Evening,4.568802243719809,Downtown,Downtown,No,Shared
2023-01-05 09:00:00,2023-01-05 09:30:00,Business,Location_D,Location_C,15.09,Errand/Supplies,Female,Morning,4.129838355559786,Suburbs,Downtown,No,Solo
2023-01-05 10:00:00,2023-01-05 10:30:00,Personal,Location_B,Location_C,23.18,Errand/Supplies,Male,Night,8.049816346380613,City Outskirts,Suburbs,Yes,Solo
2023-01-05 11:00:00,2023-01-05 11:30:00,Personal,Location_D,Location_C,7.88,Customer Visit,Male,Evening,9.758609805169613,City Outskirts,Downtown,No,Shared
2023-01-05 12:00:00,2023-01-05 12:30:00,Business,Location_C,Location_C,23.88,Errand/Supplies,Female,Evening,7.456562443725254,City Outskirts,Downtown,Yes,Shared
2023-01-05 13:00:00,2023-01-05 13:30:00,Personal,Location_C,Location_D,15.23,Airport,Female,Morning,4.060708093733022,City Outskirts,Suburbs,No,Solo
2023-01-05 14:00:00,2023-01-05 14:30:00,Business,Location_D,Location_B,3.1,Errand/Supplies,Male,Night,7.2180655764404005,Suburbs,Downtown,No,Shared
2023-01-05 15:00:00,2023-01-05 15:30:00,Personal,Location_B,Location_A,3.29,Meal/Entertainment,Female,Morning,5.689778484772235,Downtown,Downtown,Yes,Solo
2023-01-05 16:00:00,2023-01-05 16:30:00,Personal,Location_A,Location_C,9.46,Errand/Supplies,Female,Afternoon,8.159842416715357,Suburbs,Downtown,No,Shared
2023-01-05 17:00:00,2023-01-05 17:30:00,Business,Location_A,Location_B,10.23,Airport,Female,Afternoon,2.1869024736167892,City Outskirts,City Outskirts,Yes,Shared
2023-01-05 18:00:00,2023-01-05 18:30:00,Business,Location_C,Location_D,8.02,Meeting,Female,Night,7.6413681173700425,City Outskirts,City Outskirts,No,Solo
2023-01-05 19:00:00,2023-01-05 19:30:00,Business,Location_A,Location_C,7.43,Airport,Male,Night,5.898921121928976,Downtown,Downtown,No,Shared
2023-01-05 20:00:00,2023-01-05 20:30:00,Personal,Location_D,Location_D,11.89,Airport,Female,Afternoon,4.872282252997761,Downtown,Suburbs,No,Solo
2023-01-05 21:00:00,2023-01-05 21:30:00,Personal,Location_A,Location_B,16.34,Meal/Entertainment,Female,Morning,8.578305294840476,Suburbs,Downtown,No,Solo
2023-01-05 22:00:00,2023-01-05 22:30:00,Business,Location_A,Location_D,4.62,Errand/Supplies,Female,Evening,2.799638375278701,Downtown,Suburbs,No,Solo
2023-01-05 23:00:00,2023-01-05 23:30:00,Personal,Location_A,Location_D,23.9,Customer Visit,Male,Morning,3.632144739875871,Downtown,Suburbs,No,Shared
2023-01-06 00:00:00,2023-01-06 00:30:00,Business,Location_A,Location_C,7.18,Customer Visit,Male,Afternoon,5.31361016088536,City Outskirts,Suburbs,Yes,Solo
2023-01-06 01:00:00,2023-01-06 01:30:00,Business,Location_A,Location_B,3.64,Meal/Entertainment,Male,Evening,6.253094119864218,Downtown,Downtown,No,Solo
2023-01-06 02:00:00,2023-01-06 02:30:00,Personal,Location_B,Location_A,9.15,Airport,Female,Night,7.589775444495064,Downtown,Suburbs,Yes,Solo
2023-01-06 03:00:00,2023-01-06 03:30:00,Business,Location_B,Location_B,1.2,Meal/Entertainment,Female,Morning,4.69366813120744,Suburbs,Suburbs,Yes,Shared
2023-01-06 04:00:00,2023-01-06 04:30:00,Business,Location_C,Location_A,4.73,Airport,Male,Afternoon,9.23835312474563,Downtown,Suburbs,Yes,Shared
2023-01-06 05:00:00,2023-01-06 05:30:00,Personal,Location_D,Location_C,6.42,Meal/Entertainment,Male,Night,1.4689382120425414,Suburbs,Suburbs,No,Shared
2023-01-06 06:00:00,2023-01-06 06:30:00,Business,Location_B,Location_D,14.83,Customer Visit,Female,Night,9.989116608331404,City Outskirts,City Outskirts,Yes,Solo
2023-01-06 07:00:00,2023-01-06 07:30:00,Personal,Location_B,Location_C,7.42,Errand/Supplies,Female,Evening,9.806154449755876,City Outskirts,Suburbs,Yes,Solo
2023-01-06 08:00:00,2023-01-06 08:30:00,Business,Location_C,Location_D,12.74,Errand/Supplies,Male,Afternoon,5.968518356715276,Suburbs,City Outskirts,Yes,Solo
2023-01-06 09:00:00,2023-01-06 09:30:00,Personal,Location_A,Location_C,2.19,Meal/Entertainment,Male,Evening,5.895350742199491,Suburbs,Downtown,No,Solo
2023-01-06 10:00:00,2023-01-06 10:30:00,Personal,Location_A,Location_D,18.77,Meal/Entertainment,Female,Evening,9.736424277247739,Suburbs,City Outskirts,Yes,Shared
2023-01-06 11:00:00,2023-01-06 11:30:00,Personal,Location_A,Location_A,13.62,Errand/Supplies,Male,Afternoon,4.122918162458781,Downtown,City Outskirts,No,Shared
2023-01-06 12:00:00,2023-01-06 12:30:00,Personal,Location_A,Location_D,8.47,Meeting,Male,Night,4.269142334378207,City Outskirts,City Outskirts,Yes,Shared
2023-01-06 13:00:00,2023-01-06 13:30:00,Personal,Location_D,Location_B,15.83,Meal/Entertainment,Male,Night,6.414756099072475,City Outskirts,City Outskirts,Yes,Solo
2023-01-06 14:00:00,2023-01-06 14:30:00,Personal,Location_C,Location_B,1.64,Errand/Supplies,Female,Night,8.75539210338211,Suburbs,Downtown,Yes,Shared
2023-01-06 15:00:00,2023-01-06 15:30:00,Personal,Location_B,Location_A,23.65,Meeting,Female,Night,6.074841407324657,Suburbs,City Outskirts,Yes,Shared
2023-01-06 16:00:00,2023-01-06 16:30:00,Personal,Location_D,Location_A,6.91,Airport,Female,Night,7.95348904882376,City Outskirts,City Outskirts,No,Solo
2023-01-06 17:00:00,2023-01-06 17:30:00,Business,Location_B,Location_A,18.86,Meal/Entertainment,Female,Evening,3.6481711018831313,Downtown,City Outskirts,No,Shared
2023-01-06 18:00:00,2023-01-06 18:30:00,Business,Location_B,Location_A,14.11,Errand/Supplies,Male,Afternoon,2.2209504072872512,Suburbs,Downtown,Yes,Solo
2023-01-06 19:00:00,2023-01-06 19:30:00,Business,Location_A,Location_B,15.39,Meeting,Male,Evening,1.4461151318229906,City Outskirts,Suburbs,No,Solo
2023-01-06 20:00:00,2023-01-06 20:30:00,Business,Location_B,Location_B,24.5,Errand/Supplies,Male,Afternoon,9.844628383901645,Downtown,Downtown,No,Shared
2023-01-06 21:00:00,2023-01-06 21:30:00,Business,Location_D,Location_A,21.44,Meal/Entertainment,Male,Night,3.618961065471834,City Outskirts,Suburbs,No,Shared
2023-01-06 22:00:00,2023-01-06 22:30:00,Business,Location_D,Location_C,13.45,Meal/Entertainment,Male,Evening,5.10894748153178,Suburbs,City Outskirts,Yes,Solo
2023-01-06 23:00:00,2023-01-06 23:30:00,Personal,Location_C,Location_A,3.23,Meal/Entertainment,Female,Morning,8.976277145051082,City Outskirts,City Outskirts,No,Shared
2023-01-07 00:00:00,2023-01-07 00:30:00,Business,Location_A,Location_A,21.26,Meeting,Male,Evening,6.7576641618198545,City Outskirts,Downtown,No,Solo
2023-01-07 01:00:00,2023-01-07 01:30:00,Personal,Location_A,Location_B,8.68,Meal/Entertainment,Female,Morning,5.6633790661857635,Downtown,Downtown,Yes,Solo
2023-01-07 02:00:00,2023-01-07 02:30:00,Business,Location_D,Location_D,8.47,Meeting,Male,Morning,5.9171610125349545,Suburbs,Suburbs,No,Solo
2023-01-07 03:00:00,2023-01-07 03:30:00,Personal,Location_A,Location_B,17.31,Meal/Entertainment,Female,Night,2.2281276461169326,City Outskirts,City Outskirts,Yes,Solo
2023-01-07 04:00:00,2023-01-07 04:30:00,Business,Location_D,Location_D,17.13,Errand/Supplies,Female,Afternoon,2.2939210598855198,Suburbs,City Outskirts,No,Solo
2023-01-07 05:00:00,2023-01-07 05:30:00,Personal,Location_B,Location_C,2.1,Meal/Entertainment,Male,Afternoon,1.8504954258857458,City Outskirts,Downtown,No,Solo
2023-01-07 06:00:00,2023-01-07 06:30:00,Personal,Location_B,Location_C,5.09,Customer Visit,Male,Morning,2.3095881161272676,City Outskirts,Downtown,Yes,Shared
2023-01-07 07:00:00,2023-01-07 07:30:00,Business,Location_D,Location_C,24.9,Meeting,Female,Night,4.6541285827397285,City Outskirts,City Outskirts,No,Shared
2023-01-07 08:00:00,2023-01-07 08:30:00,Business,Location_C,Location_D,1.45,Customer Visit,Female,Morning,6.823833513673087,Downtown,City Outskirts,No,Shared
2023-01-07 09:00:00,2023-01-07 09:30:00,Business,Location_A,Location_B,11.42,Errand/Supplies,Female,Night,7.295554125412913,Downtown,Downtown,Yes,Shared
2023-01-07 10:00:00,2023-01-07 10:30:00,Business,Location_D,Location_C,3.49,Customer Visit,Female,Night,6.126062813869513,City Outskirts,Suburbs,Yes,Solo
2023-01-07 11:00:00,2023-01-07 11:30:00,Business,Location_A,Location_B,18.43,Errand/Supplies,Male,Night,8.768242104468133,Suburbs,Downtown,No,Shared
2023-01-07 12:00:00,2023-01-07 12:30:00,Personal,Location_B,Location_D,6.78,Meal/Entertainment,Female,Evening,5.327250255948429,Suburbs,City Outskirts,Yes,Shared
2023-01-07 13:00:00,2023-01-07 13:30:00,Personal,Location_A,Location_D,10.45,Meeting,Male,Afternoon,1.5486116653578197,City Outskirts,City Outskirts,Yes,Solo
2023-01-07 14:00:00,2023-01-07 14:30:00,Business,Location_A,Location_C,9.24,Meal/Entertainment,Female,Morning,4.589968344213949,City Outskirts,City Outskirts,No,Solo
2023-01-07 15:00:00,2023-01-07 15:30:00,Personal,Location_B,Location_D,3.03,Customer Visit,Female,Morning,6.269581607350058,City Outskirts,Downtown,Yes,Solo
2023-01-07 16:00:00,2023-01-07 16:30:00,Personal,Location_D,Location_C,10.28,Airport,Male,Night,9.079605660887676,City Outskirts,Suburbs,Yes,Shared
2023-01-07 17:00:00,2023-01-07 17:30:00,Personal,Location_A,Location_C,4.94,Meal/Entertainment,Female,Evening,5.77996974522379,Suburbs,Downtown,No,Solo
